NJ,ZYMC,YHDM
2011,政法类03,105854
2011,政法类03,107926
2011,政法类03,105849
2011,政法类03,108079
2011,政法类03,105471
2011,政法类03,105918
2011,政法类03,106777
2011,政法类03,107885
2011,政法类03,105459
2011,政法类03,106792
2011,政法类03,105972
2011,政法类03,105544
2011,政法类03,107917
2011,政法类03,106797
2011,政法类03,106221
2011,政法类03,107083
2011,政法类03,106644
2011,政法类03,107882
2011,政法类03,107896
2011,政法类03,105914
2011,政法类03,108465
2011,政法类03,108022
2011,政法类03,105823
2011,政法类03,105945
2011,政法类03,106735
2011,政法类03,109136
2011,政法类03,107755
2011,政法类03,107727
2011,政法类03,105565
2011,政法类03,107794
2011,政法类03,107793
2011,政法类03,105619
2011,政法类03,106159
2011,政法类03,106785
2011,政法类03,106328
2011,政法类03,107385
2011,政法类03,106800
2011,政法类03,106774
2011,政法类03,106782
2011,政法类03,108248
2011,政法类03,106787
2011,政法类03,105515
2011,政法类03,105810
2011,政法类03,108139
2011,政法类03,107899
2011,政法类03,106185
2011,政法类03,105531
2011,政法类03,108551
2011,政法类03,106376
2011,政法类03,106647
2011,政法类03,108209
2011,政法类03,108485
2011,政法类03,107519
2011,政法类03,106199
2011,政法类03,105481
2011,政法类03,108483
2011,政法类03,105631
2011,政法类03,107073
2011,政法类03,108259
2011,政法类03,108060
2011,政法类03,105583
2011,政法类03,105766
2011,政法类03,105526
2011,政法类03,107648
2011,政法类03,107680
2011,政法类03,106023
2011,政法类03,107420
2011,政法类03,107326
2011,政法类03,107520
2011,政法类03,105642
2011,政法类03,107081
2011,政法类03,107076
2011,政法类03,107069
2011,政法类03,106021
2011,政法类03,106701
2011,政法类03,108078
2011,政法类03,105518
2011,政法类03,105522
2011,政法类03,106110
2011,政法类03,105499
2011,政法类03,108709
2011,政法类03,107881
2011,政法类03,105525
2011,政法类03,105596
2011,政法类03,105496
2011,政法类03,105855
2011,政法类03,106648
2011,政法类03,105563
2011,政法类03,105578
2011,政法类03,105630
2011,政法类03,107929
2011,政法类03,105476
2011,政法类03,108071
2011,政法类03,106061
2011,数学类02,107917
2011,数学类02,105431
2011,数学类02,105464
2011,数学类02,105485
2011,数学类02,105610
2011,数学类02,107240
2011,数学类02,105777
2011,数学类02,106883
2011,数学类02,107323
2011,数学类02,107322
2011,数学类02,107321
2011,数学类02,107320
2011,数学类02,105468
2011,数学类02,105544
2011,数学类02,105721
2011,数学类02,105596
2011,数学类02,107900
2011,数学类02,106867
2011,数学类02,106866
2011,数学类02,108435
2011,数学类02,105677
2011,数学类02,105493
2011,数学类02,106870
2011,数学类02,107909
2011,数学类02,105528
2011,数学类02,105526
2011,数学类02,108434
2011,数学类02,105967
2011,数学类02,106592
2011,数学类02,107905
2011,数学类02,106290
2011,数学类02,105626
2011,数学类02,105525
2011,数学类02,105726
2011,数学类02,107797
2011,数学类02,106989
2011,数学类02,108210
2011,数学类02,108025
2011,数学类02,105755
2011,数学类02,105522
2011,数学类02,105488
2011,数学类02,106289
2011,数学类02,106720
2011,数学类02,106847
2011,数学类02,106864
2011,数学类02,105683
2011,数学类02,105435
2011,数学类02,105520
2011,数学类02,105492
2011,数学类02,108551
2011,数学类02,105489
2011,数学类02,105471
2011,数学类02,107475
2011,数学类02,106531
2011,数学类02,107474
2011,数学类02,106485
2011,数学类02,107794
2011,数学类02,107793
2011,数学类02,107926
2011,数学类02,106067
2011,数学类02,105459
2011,数学类02,105477
2011,数学类02,105510
2011,数学类02,105684
2011,数学类02,107151
2011,数学类02,105578
2011,数学类02,105475
2011,数学类02,106787
2011,数学类02,107920
2011,数学类02,105484
2011,数学类02,105499
2011,数学类02,107753
2011,数学类02,106529
2011,数学类02,107471
2011,数学类02,107464
2011,数学类02,106524
2011,数学类02,106530
2011,数学类02,106510
2011,数学类02,107994
2011,数学类02,107755
2011,数学类02,107727
2011,数学类02,105563
2011,数学类02,105945
2011,数学类02,108451
2011,数学类02,105434
2011,数学类02,105969
2011,数学类02,108022
2011,数学类02,105923
2011,数学类02,105924
2011,数学类02,107921
2011,数学类02,105754
2011,数学类02,108021
2011,数学类02,105933
2011,数学类02,106006
2011,数学类02,105932
2011,数学类02,105929
2011,数学类02,105954
2011,数学类02,105953
2011,数学类02,105927
2011,数学类02,105951
2011,数学类02,105925
2011,数学类02,107314
2011,数学类02,107919
2011,数学类02,105962
2011,数学类02,105531
2011,数学类02,108436
2011,数学类02,107892
2011,数学类02,107882
2011,数学类02,107608
2011,数学类02,108853
2011,数学类02,107223
2011,数学类02,108457
2011,数学类02,107487
2011,数学类02,107891
2011,数学类02,106466
2011,数学类02,106982
